0.946501693771561-0.251425719050987i,0.932877728373312-0.28051199693449i,0.916610520885309-0.311129502107408i,0.897275395778801-0.343243789065442i,0.874389786578022-0.376774360022476i,0.847409720797902-0.411582482319838i,0.815727333654268-0.447459169251586i,0.778668643114861-0.484116301263634i,0.735488352071338-0.521186882667056i,0.685352100587494-0.558246152142496i,0.627280273156462-0.594876626721021i,0.559983066785004-0.630824420294762i,0.481381878346251-0.666350592257575i,0.387130632038382-0.703018371176713i,0.265277675093997-0.745393920784575i,0.0706346733673983-0.801615565812882i,-0.438843452248924-0.751763401524475i,-0.146265348527606+0.219354094699047i,0.15307638636679-0.117751821753898i,0.0950864454742613-0.217706992420592i,0.0231510414975462-0.222953092918374i,-0.0389914735770422-0.190014729680417i,-0.0883013473196495-0.137731158471929i,-0.124451477537092-0.075058600849689i,-0.14796996619241-0.0074433652977775i,-0.159905945520202+0.0613709654868531i,-0.161655327280157+0.128731319381999i,-0.154798190438379+0.192809387913732i,-0.140952590864188+0.252435267715663i,-0.121660832252023+0.306959296615937i,-0.0983144909159008+0.356127071802916i,-0.072115292807356+0.399968837628542i,-0.0440640406829033+0.43870663625446i,-0.0149686038260321+0.472680668924332i,0.0145369956002366+0.502293987173257i,0.0439684517056575+0.527973098861159i,0.0729660757682335+0.550141437444098i,0.101271162520193+0.569202653175286i,0.12870505704157+0.58553105164041i,0.155151367331639+0.599467008547916i,0.18054129536165+0.611315696472056i,0.204841809735911+0.621347903292263i,0.228046276721507+0.629802080664248i,0.25016714510533+0.636887034913384i,0.271230304792511+0.642784873809803i,0.291270784515828+0.647653965447425i,0.310329505919992+0.651631763958902i,0.328450861721648+0.654837422933519i,0.345680930853401+0.65737416053014i,0.362066182107154+0.659331367433077i,0.377652549735232+0.660786465115209i
-0.0000530342865255916-0.000425234364195274i,-0.0000811084672874004-0.000560636477215784i,-0.000122258738526697-0.000731785809779999i,-0.00018219539313716-0.000947822479994136i,-0.00026916142539128-0.00122056142587959i,-0.000395169776483494-0.00156545267735111i,-0.000577956179205547-0.00200299182370743i,-0.000844167418619686-0.00256086685582088i,-0.00123479446820659-0.00327736614426287i,-0.0018149478342757-0.00420705631831622i,-0.00269269733431286-0.00543076429182341i,-0.00405869595656137-0.00707415118726498i,-0.00627943743598784-0.00934412109413181i,-0.0101520350474958-0.0126011899651056i,-0.0177603704686419-0.0174691411541934i,-0.0363540624695106-0.0242743955146938i,-0.0997810550352863-0.0092196469961912i,-0.0204207173508341+0.123218382891398i,0.0273600160070643+0.0567248294156885i,0.0259246697108203+0.0330050051927981i,0.023173025743717+0.0225341715172285i,0.0210541636759205+0.0165852384330125i,0.0194316223600594+0.0126593424142276i,0.0181222555088974+0.00981880561041091i,0.017009833878799+0.00764205126326752i,0.0160270149258855+0.00591337815295276i,0.0151358864615609+0.00451028446224703i,0.0143154857639023+0.00335649061855714i,0.0135543153158907+0.00240042863499282i,0.012845938308047+0.00160473502066596i,0.0121864445595441+0.000940859946722163i,0.0115730490571578+0.000386168791978075i,0.0110033659995865-0.0000777059160812336i,0.0104750730413874-0.000465870705855171i,0.00998578961013403-0.000790838410640232i,0.00953306352306525-0.00106300797377963i,0.00911440500164052-0.00129103284010322i,0.00872733504788604-0.00148211658641576i,0.00836943180943011-0.00164225620284421i,0.0080383680566131-0.0017764446731109i,0.00773193797401732-0.00188884031599258i,0.00744807393817835-0.00198290830197482i,0.00718485495634477-0.00206153866866094i,0.00694050867201061-0.00212714447936795i,0.00671340870511313-0.00218174326322698i,0.00650206881157811-0.00222702444702162i,0.00630513503412107-0.00226440510639481i,0.00612137672821178-0.00229507601873875i,0.00594967710469984-0.00232003969147783i,0.00578902373746451-0.00234014176798329i,0.0056384993363872-0.00235609697830824i
0.067790445675651-0.0309037433837384i,0.0808930316818799-0.0411695345847368i,0.0958003348907755-0.0543315095161488i,0.112725797286035-0.0711992153999341i,0.13189699083272-0.0928445400426041i,0.153546704139561-0.120707321503363i,0.177895663290734-0.15675634761008i,0.205119584126858-0.203744547173949i,0.235284941223519-0.265632870334426i,0.268216788112636-0.348334938628833i,0.303203314034187-0.461115921546555i,0.33825954000404-0.619442171624232i,0.368023966032587-0.851396737922095i,0.376600876052701-1.2140823961354i,0.306510934427616-1.84306971951025i,-0.137344760495725-3.13107820191489i,-3.65478059712809-5.8242022241879i,-7.17426270753062+3.99437532997622i,-1.65420658814491+3.60999414209863i,-0.489932857533701+2.49267724628282i,-0.078168699077758+1.87823429697319i,0.121693964536638+1.49401934142416i,0.235119957943992+1.22592545793492i,0.304017915422496+1.02430470144605i,0.346185580666068+0.864977334557649i,0.370687062050813+0.73498125592822i,0.382862019301246+0.626758576876913i,0.386224119839655+0.5355376315495i,0.383263868851873+0.458067013587556i,0.375823166537046+0.391973446989992i,0.365290558237529+0.335425035005326i,0.352717037284017+0.286949308518341i,0.338893951517314+0.245331111557695i,0.32441059765756+0.209551991380293i,0.309699118292155+0.178751348015301i,0.295070241787648+0.152199233592604i,0.280741796327908+0.129275692294333i,0.266861306158757+0.109454091266424i,0.253523716275563+0.0922871706566975i,0.240785143734368+0.0773951577994467i,0.22867343322417+0.0644555766474381i,0.217196179104497+0.0531945110075374i,0.206346765112105+0.0433791359217166i,0.196108870628615+0.0348113576715563i,0.186459802269694+0.0273224184238823i,0.177372933114869+0.0207683342824556i,0.168819468976155+0.0150260480805967i,0.160769710495837+0.00999019108417702i,0.153193939877284+0.00557036055835043i,0.146063029888781+0.00168883242968248i,0.139348848748387-0.00172136031962257i
0.998648513625209-0.0517807627508953i,0.998412106146155-0.0561727504117863i,0.998133224184212-0.0609794258370678i,0.99779933755375-0.0663147871492538i,0.997392732570293-0.072324721813829i,0.996887594739199-0.0792016887915058i,0.996244986544448-0.0872073958947871i,0.995403825894745-0.096709283100743i,0.994263848908553-0.108241876320253i,0.99265144540132-0.122615355533432i,0.990245912417863-0.141119692871049i,0.986404770651056-0.165938127492i,0.979696758282377-0.20106656683703i,0.966430238177474-0.254616702985549i,0.934778594816578-0.345516768330045i,0.83091700712984-0.525661606122744i,0.23037271040139-0.841717585788096i,-0.065747299845466+0.727077161813743i,0.751807867021375+0.54057887211685i,0.896539423750266+0.350298090797704i,0.941181708414454+0.254496805180459i,0.960576242611737+0.198750753602817i,0.970844122803804+0.162594734082482i,0.977029394930737+0.137316809128437i,0.981113783235515+0.118660709417252i,0.984002793059871+0.104317636412712i,0.986156939730078+0.0929325394233179i,0.987830034128239+0.0836604464020157i,0.989171184447361+0.0759486458853978i,0.990272806244596+0.0694213164535937i,0.991194931480504+0.0638145503723705i,0.991978241009817+0.0589378776902596i,0.992651379958252+0.0546505211078638i,0.993235224954035+0.0508462276208703i,0.993745459164426+0.047443291638989i,0.994194175915073+0.0443778250981968i,0.994590908203482+0.04159911587787i,0.994943309732169+0.0390663621465242i,0.995257618889087+0.0367463327696919i,0.995538984008286+0.0346116630169051i,0.995791697631234+0.032639593756461i,0.996019369481563+0.030811025262448i,0.996225057072174+0.0291097975844868i,0.996411366272586+0.0275221363857772i,0.996580530062599+0.0260362212403364i,0.996734471094497+0.0246418456961377i,0.996874851998361+0.0233301469152335i,0.997003116247379+0.0220933886521254i,0.997120521643266+0.0209247855471006i,0.997228167958021+0.0198183597335453i,0.997327019897757+0.0187688229499173i
