0.976088116168385-0.204814883867094i,0.970800154089961-0.22471159081803i,0.964516932742109-0.245648458555302i,0.956982950940853-0.267800660041127i,0.947840912184518-0.291327339689211i,0.936730628120351-0.316324853235653i,0.923265514732422-0.343155544498981i,0.906510137286709-0.372236506027612i,0.88522268086815-0.403735781819688i,0.857749876586047-0.437703055930582i,0.821721104472483-0.473861346118284i,0.773754141702863-0.511119437582298i,0.709230609191318-0.546597967276725i,0.622597299204014-0.573773504938484i,0.50959093625148-0.579548777526562i,0.374242205664701-0.542057541534566i,0.24172587435838-0.437224856003763i,0.162272343011182-0.264917371304265i,0.176453066729385-0.0730231192984295i,0.270145969983477+0.0749709569315574i,0.393515267956236+0.154658514600261i,0.508696833661342+0.179783427318179i,0.601931230156572+0.172823555813247i,0.673070089088261+0.150242718620197i,0.726255916578763+0.121394865148902i,0.765908570602498+0.0909971443515286i,0.795602933500095+0.0612419281313926i,0.817985048125315+0.0330461622119891i,0.834955334026734+0.00670848298182013i,0.847870499308995-0.0177603477247643i,0.857703910297029-0.0404745458690797i,0.865160971693578-0.0615942260122941i,0.870759229139897-0.0812879574655165i,0.874883405891966-0.0997159431266408i,0.877823268570714-0.117023344683777i,0.879799866081573-0.133338509017057i,0.880983894784422-0.148773463563115i,0.881508699229856-0.163425364595736i,0.881479584688976-0.177378250286977i,0.880980566973209-0.19070479057034i,0.88007932144979-0.203467898613534i,0.878830852178215-0.215722155309864i,0.877280241131418-0.227515040289712i,0.875464728956212-0.238887982100238i,0.873415304866051-0.249877247657639i,0.871157932429447-0.260514692745066i,0.868714502680413-0.270828394282392i,0.866103581148475-0.280843182924584i,0.863340997807783-0.290581092054165i,0.860440316304109-0.300061736808609i,0.857413209707103-0.309302634588623i
-1.22141847944295e-06+3.22669140017154e-08i,-2.44933709288394e-06+3.14662588903819e-07i,-4.84346151207184e-06+1.37893783354477e-06i,-9.05768326208488e-06+5.15816317660441e-06i,-1.2628277478918e-05+1.67375977922684e-05i,-2.13235483779708e-06+3.43868200772607e-05i,1.88932083910807e-05+3.79177900637359e-05i,3.3896683407795e-05+3.29007053788824e-05i,4.57496168168051e-05+2.792228078609e-05i,5.85516950930635e-05+2.32588882939189e-05i,7.44053972804463e-05+1.72467068231366e-05i,9.45501822738764e-05+7.40035690495251e-06i,0.000119399788746395-1.00452479996218e-05i,0.000147393743534054-4.06965382025408e-05i,0.000172319923722085-9.15710769241431e-05i,0.00017960632352398-0.000167063571770898i,0.000147024643343533-0.000258227951367964i,6.15906097064627e-05-0.000332895311076074i,-5.48088374932883e-05-0.000353405907364157i,-0.000156877400220454-0.000315880920816548i,-0.000218713680883152-0.000249716104845251i,-0.000243809689920772-0.000183488447601183i,-0.000246367813136144-0.000129925776228637i,-0.000238300034743246-9.07043543095979e-05i,-0.000226679726050325-6.33157043976632e-05i,-0.000215020839913583-4.45963388106065e-05i,-0.000204819186061658-3.19037909224483e-05i,-0.000196562730414765-2.33038121033455e-05i,-0.000190282366097235-1.74551351555611e-05i,-0.00018582627123895-1.34471785965128e-05i,-0.000182988089211502-1.066447380993e-05i,-0.000181562614717172-8.68879596422767e-06i,-0.000181367067299157-7.23255790730667e-06i,-0.000182246750429636-6.09459385020892e-06i,-0.000184074098115971-5.13105354530277e-06i,-0.000186745294381064-4.23623705909723e-06i,-0.000190176331466047-3.32990866390258e-06i,-0.000194299276841189-2.34883145432652e-06i,-0.000199059014800488-1.24106396597033e-06i,-0.000204410506547534+3.79218739822527e-08i,-0.000210316523492397+1.52790982582662e-06i,-0.000216745779966348+3.26579098876522e-06i,-0.000223671389396262+5.28685678558652e-06i,-0.000231069576107628+7.62570354387504e-06i,-0.000238918586067112+1.03168612041858e-05i,-0.000247197750933824+1.33952206377927e-05i,-0.000255886669623527+1.68963087221141e-05i,-0.000264964479937551+2.08564432697771e-05i,-0.000274409199780303+2.53127883292336e-05i,-0.000284197123301412+3.03033224494979e-05i,-0.000294302262221857+3.58667271092807e-05i
-0.0367538645355754+0.101046924274377i,-0.0451498846667929+0.208529788806676i,-0.0114000380567766+0.428648107410856i,0.220036796841168+0.849412711753943i,1.13069249208168+1.33519957071598i,2.77543851600781+0.675138759006253i,3.30375647272781-1.14397231288695i,2.91729010702626-2.56840807422095i,2.38728854503253-3.69909231679919i,1.75912329900562-4.86297170959492i,0.859917780548239-6.20980776363182i,-0.577904902431809-7.76533809654132i,-2.92459100493025-9.39640036020827i,-6.62655108715133-10.6664570205185i,-11.9962914538927-10.6025408999476i,-18.5894033911716-7.58969229030722i,-24.2229762648265-0.119668411860108i,-25.1275140018164+10.9683945619071i,-19.2925180362159+21.2311163235733i,-9.39389819439445+26.2954086286382i,0.122383097944888+25.8343407850347i,6.91397272755126+22.188198864173i,10.8657988093716+17.5739595304017i,12.7263062120592+13.1959361896854i,13.2745891187198+9.49554840213486i,13.0780701295866+6.53159158790234i,12.4960535166435+4.21586271099163i,11.7399103649736+2.42424307911492i,10.9278556783685+1.04015613673965i,10.1228031542401-0.0325546543735709i,9.35595000283351-0.86883410364815i,8.64077144040114-1.52556828075473i,7.98111282102797-2.04543954319104i,7.37579448625722-2.46036115899713i,6.82119740989111-2.79421929886853i,6.31269195077343-3.06495652989657i,5.84540815044549-3.28611781072419i,5.41463365884228-3.46798539256775i,5.01600302543141-3.61840901947141i,4.64557193117319-3.74341368402669i,4.29982972049732-3.84764601626461i,3.97568051173312-3.93470375719093i,3.67040989922985-4.00738036740915i,3.38164663432261-4.06784780710721i,3.10732429708366-4.11779405581793i,2.8456454753247-4.15852732457671i,2.5950495605861-4.19105562331009i,2.35418449429279-4.21614799769604i,2.1218823838904-4.23438206764505i,1.89713870304459-4.24618128895358i,1.67909470058084-4.25184448410578i
-0.876706509542042+0.373517248482857i,-0.843744319232982+0.417242449890534i,-0.794215767868112+0.463330274891338i,-0.71450960089671+0.50107974914151i,-0.60041557808255+0.485214414305687i,-0.551566557567984+0.376149825133569i,-0.617946632306373+0.331484037551801i,-0.655226234898973+0.375802047889453i,-0.64364679232404+0.435442958137839i,-0.602125609769709+0.48892250040045i,-0.539915368117919+0.532186296662345i,-0.460364838154242+0.562600529425061i,-0.36529066064882+0.575928335412081i,-0.257656994432327+0.566077125560358i,-0.143745359007902+0.526061587796843i,-0.0347132752354745+0.450542453353306i,0.0540034339057653+0.339997424365727i,0.107431180027902+0.204197326175866i,0.118162966801563+0.0602487233716644i,0.0888840988953319-0.074638678800925i,0.0288600905925782-0.18836554000835i,-0.0501929115022917-0.275004432301791i,-0.137143957399014-0.334142615015262i,-0.223486909864729-0.369138566093368i,-0.303941622713627-0.384981741905164i,-0.375941847700601-0.386693409864392i,-0.438748032480938-0.378532986822707i,-0.492659537438668-0.363787400441798i,-0.53847017061444-0.344852079621938i,-0.577143563382902-0.323409854971274i,-0.609640950365491-0.300613337447696i,-0.636841225523805-0.277236499592906i,-0.659511983329583-0.253789567119274i,-0.678306490043736-0.230601973076133i,-0.6937725011275-0.207880652360953i,-0.706365470860549-0.185750387032473i,-0.716462453187115-0.164281495202529i,-0.724375019513376-0.1435087498621i,-0.73036056711708-0.123444276770195i,-0.734631905624576-0.10408633713115i,-0.737365240490152-0.0854253020141122i,-0.738706759709346-0.0674477101627235i,-0.738778047097644-0.0501390162967087i,-0.737680530971367-0.0334854431421255i,-0.73549915063267-0.0174752185460562i,-0.732305394136936-0.00209938921053361i,-0.728159833700088+0.0126476587874321i,-0.723114261366849+0.0267678846321471i,-0.717213507517396+0.0402594235607886i,-0.710497008182481+0.0531165249760253i,-0.703000173473232+0.0653295731324447i
